Study,Arm,Description,Intervention
Abrahamsson 2007,No probiotics,,No probiotic
Abrahamsson 2007,Probiotics,,Probiotic
Allen 2014,No probiotics,,No probiotic
Allen 2014,Probiotics,,Probiotic
Cabana 2007,No probiotics,,No probiotic
Cabana 2007,Probiotics,,Probiotic
Hascoët 2011,No probiotics,,No probiotic
Hascoët 2011,Probiotics,,Probiotic
Kalliomaki 2001,No probiotics,,No probiotic
Kalliomaki 2001,Probiotics,,Probiotic
Kim 2010,No probiotics,,No probiotic
Kim 2010,Probiotics,,Probiotic
Kopp 2008,No probiotics,,No probiotic
Kopp 2008,Probiotics,,Probiotic
Lau 2012,No probiotics,,No probiotic
Lau 2012,Probiotics,,Probiotic
Morisset 2011,No probiotics,,No probiotic
Morisset 2011,Probiotics,,Probiotic
Niers 2009,No probiotics,,No probiotic
Niers 2009,Probiotics,,Probiotic
Ortiz-Andrellucchi 2008,No probiotics,,No probiotic
Ortiz-Andrellucchi 2008,Probiotics,,Probiotic
Plummer 2020,No probiotics,,No probiotic
Plummer 2020,Probiotics,,Probiotic
Rautava 2006,No probiotics,,No probiotic
Rautava 2006,Probiotics,,Probiotic
Savino 2010,No probiotics,,No probiotic
Savino 2010,Probiotics,,Probiotic
Soh 2009,No probiotics,,No probiotic
Soh 2009,Probiotics,,Probiotic
Taipale 2011,No probiotics,,No probiotic
Taipale 2011,Probiotics,,Probiotic
Taylor 2006,No probiotics,,No probiotic
Taylor 2006,Probiotics,,Probiotic
Vlieger 2009,No probiotics,,No probiotic
Vlieger 2009,Probiotics,,Probiotic
West 2008,No probiotics,,No probiotic
West 2008,Probiotics,,Probiotic
Wickens 2008,No probiotics,,No probiotic
Wickens 2008,Probiotics,,Probiotic
